"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 08:53:51 IST 2023","Tue Dec 12 08:54:59 IST 2023","68243","","TC_Salesforce_Opportunity.spec.js","","","","Create an Opportunity",""
"passed","Tue Dec 12 22:05:34 IST 2023","Tue Dec 12 22:06:35 IST 2023","60968","","TC_Salesforce_SalesHeaders.spec.js","","","","salesforce navigate to all headers",""
